customer ID,order date,sku_code,SKU id,sku_name,order_qty,order_unit,unit_selling_price
M1-PUMS-11,20/12/2022,SIK-4040,SIK-040040-IBB,Siku 40 mm x 40 mm x 6 mtr (KS/Ispat),142,Batang,143694
M1-PUMS-11,20/12/2022,SIK-6060,SIK-060060-IBB,Siku 60 mm x 60 mm x 6 mtr (KS/Ispat),112,Batang,324775
M1-PUMS-11,20/12/2022,SIK-7070,SIK-070070-IBB,Siku 70 mm x 70 mm x 6 mtr (KS/Ispat),24,Batang,443243
M1-PUMS-11,20/12/2022,SIK-8080,SIK-080080-IBB,Siku 80 mm x 80 mm x 6 mtr (KS/Ispat),24,Batang,581982
M1-PUMS-11,20/12/2022,SIK-9090,SIK-090090-KS,Siku 90 mm x 90 mm x 6 mtr (KS/Ispat),52,Batang,738739
M1-PUMS-11,20/12/2022,SIK-100100,SIK-100100-IBB,Siku 100 mm x 100 mm x 6 mtr (KS/Ispat),90,Batang,910360
M1-STQI-11,17/01/2023,PLT-BRDS23,PLT-BRDS0230,Besi Plat Bordes Tebal 2.3 mm x 1200 mm x 2400 mm,100,Lembar,902832
M1-STQI-11,17/01/2023,PLT-SPHC1.55,PLT-SPHC0155,Plat Hitam Tebal 1.55 mm 1200 mm x 2400 mm,200,Lembar,502978
M1-STQI-11,17/01/2023,PLT-SPHC1.8,PLT-SPHC0180,Plat Hitam Tebal 1.8 mm 1200 mm x 2400 mm,50,Lembar,576828
M1-STQI-11,19/01/2023,PLT-SPHC2.6,PLT-SPHC0026,Plat Hitam Tebal 2.6 mm 1200 mm x 2400 mm,10,Lembar,831644
M1-STQI-11,19/01/2023,PLT-SPHC2.8,PLT-SPHC0280,Plat Hitam Tebal 2.8 mm 1200 mm x 2400 mm,20,Lembar,902927
M1-PUMS-11,20/01/2023,PIP-SCH404,PIP-SCH404,"Pipa Hitam 4"" Sch x 6 m",3,Batang,1557900
M1-PUMS-11,20/01/2023,PIP-SCH406,PIP-SCH4060,"Pipa Hitam 6"" Sch x 6 m",3,Batang,2724300
M1-PUMS-11,20/01/2023,PIP-SCH408,PIP-SCH4080,"Pipa Hitam 8"" Sch x 6 m",2,Batang,4158900
M1-PUMS-11,20/01/2023,PLT-SPHC4,PLT-SPHC0400,Besi Plat SPHC Tebal 6.0 mm x 1200 mm x 2400 mm (KS),3,Lembar,1782900
M1-PUMS-11,20/01/2023,PLT-SPHC5,PLT-SPHC0500,Besi Plat SPHC Tebal 8.0 mm x 1200 mm x 2400 mm (KS),5,Lembar,2364570
M1-PUMS-11,20/01/2023,PLT-SPHC6,PLT-SPHC0600,Besi Plat SPHC Tebal 10 mm x 1200 mm x 2400 mm (GG),4,Lembar,2946285
